Image Name,agreeableness,anger,anticipation,arrogance,disagreeableness,disgust,fear,gratitude,happiness,humility,love,optimism,pessimism,regret,sadness,shame,shyness,surprise,trust,neutral
0.jpg,0.06,0.012,0.071,0.024,0.012,0.0,0.012,0.119,0.726,0.369,0.25,0.274,0.012,0.0,0.131,0.0,0.024,0.024,0.25,0.0
1.jpg,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.0,0.1,0.1,0.0,0.2,0.2,0.1,0.2,0.0,0.0,0.5,0.0,0.0
2.jpg,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0
3.jpg,0.0,0.0,0.091,0.0,0.0,0.091,0.0,0.0,0.091,0.091,0.0,0.0,0.182,0.0,0.364,0.0,0.0,0.273,0.0,0.0
4.jpg,0.077,0.077,0.077,0.231,0.308,0.308,0.308,0.231,0.154,0.077,0.077,0.231,0.231,0.077,0.231,0.154,0.077,0.154,0.231,0.0
5.jpg,0.045,0.0,0.149,0.015,0.03,0.045,0.16399999999999998,0.03,0.284,0.194,0.015,0.134,0.06,0.03,0.119,0.03,0.0,0.299,0.06,0.0
6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.1,0.3,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
7.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.5,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0
8.jpg,0.083,0.083,0.333,0.0,0.0,0.083,0.0,0.083,0.0,0.083,0.0,0.0,0.083,0.0,0.0,0.083,0.0,0.5,0.0,0.083
9.jpg,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.2
10.jpg,0.0,0.0,0.091,0.0,0.0,0.091,0.0,0.0,0.636,0.182,0.091,0.273,0.0,0.0,0.0,0.0,0.0,0.091,0.182,0.0
11.jpg,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.1,0.6,0.0
12.jpg,0.0,0.0,0.273,0.0,0.0,0.182,0.0,0.0,0.091,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.091,0.0
13.jpg,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.1,0.0,0.0,0.3,0.1,0.0
14.jpg,0.0,0.0,0.25,0.083,0.0,0.0,0.0,0.083,0.25,0.083,0.16699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.083,0.0
15.jpg,0.0,0.083,0.0,0.083,0.083,0.083,0.0,0.16699999999999998,0.333,0.16699999999999998,0.417,0.16699999999999998,0.0,0.083,0.083,0.083,0.0,0.083,0.583,0.0
16.jpg,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0
17.jpg,0.0,0.0,0.4,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.5,0.1,0.1
18.jpg,0.091,0.0,0.091,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.091,0.0,0.182,0.273,0.636,0.0,0.0,0.091,0.273,0.0
19.jpg,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.1
20.jpg,0.0,0.091,0.273,0.0,0.0,0.091,0.364,0.091,0.0,0.091,0.0,0.0,0.182,0.0,0.182,0.0,0.091,0.273,0.182,0.0
21.jpg,0.063,0.036000000000000004,0.17,0.036000000000000004,0.054000000000000006,0.027000000000000003,0.08,0.018000000000000002,0.384,0.205,0.018000000000000002,0.196,0.018000000000000002,0.009000000000000001,0.018000000000000002,0.027000000000000003,0.009000000000000001,0.08,0.232,0.009000000000000001
22.jpg,0.077,0.0,0.0,0.0,0.077,0.077,0.385,0.0,0.385,0.385,0.0,0.0,0.154,0.231,0.308,0.154,0.0,0.077,0.0,0.0
23.jpg,0.083,0.0,0.5,0.083,0.083,0.083,0.0,0.083,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.083,0.333,0.083,0.0
24.jpg,0.0,0.0,0.0,0.0,0.0,0.091,0.545,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.091,0.0,0.0,0.273,0.0,0.0
25.jpg,0.0,0.0,0.273,0.091,0.091,0.273,0.091,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.091,0.182,0.091,0.455,0.091,0.0
26.jpg,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
27.jpg,0.0,0.1,0.4,0.0,0.0,0.3,0.3,0.0,0.1,0.1,0.1,0.0,0.2,0.1,0.2,0.0,0.0,0.5,0.1,0.0
28.jpg,0.0,0.018000000000000002,0.327,0.036000000000000004,0.073,0.182,0.055,0.018000000000000002,0.055,0.073,0.036000000000000004,0.055,0.036000000000000004,0.0,0.036000000000000004,0.018000000000000002,0.018000000000000002,0.436,0.036000000000000004,0.073
