Image Name,Post Renaissance Art,Modern Art,Contemporary Art,Renaissance Art
0.jpg,0,1,0,0
1.jpg,0,1,0,0
2.jpg,0,1,0,0
3.jpg,0,1,0,0
4.jpg,1,0,0,0
5.jpg,0,1,0,0
6.jpg,1,0,0,0
7.jpg,1,0,0,0
8.jpg,0,0,1,0
9.jpg,0,0,1,0
10.jpg,0,1,0,0
11.jpg,1,0,0,0
12.jpg,0,1,0,0
13.jpg,0,1,0,0
14.jpg,0,1,0,0
15.jpg,0,0,0,1
16.jpg,1,0,0,0
17.jpg,0,1,0,0
18.jpg,0,1,0,0
19.jpg,0,0,1,0
20.jpg,0,1,0,0
21.jpg,1,0,0,0
22.jpg,1,0,0,0
23.jpg,0,1,0,0
24.jpg,0,1,0,0
25.jpg,0,1,0,0
26.jpg,0,0,1,0
27.jpg,0,1,0,0
28.jpg,0,1,0,0
29.jpg,0,0,1,0
30.jpg,0,1,0,0
31.jpg,1,0,0,0
32.jpg,1,0,0,0
33.jpg,1,0,0,0
34.jpg,0,1,0,0
35.jpg,1,0,0,0
36.jpg,1,0,0,0
37.jpg,0,0,0,1
38.jpg,0,1,0,0
39.jpg,0,1,0,0
40.jpg,0,1,0,0
41.jpg,0,1,0,0
42.jpg,0,1,0,0
43.jpg,0,1,0,0
44.jpg,0,1,0,0
45.jpg,0,1,0,0
46.jpg,0,1,0,0
47.jpg,0,0,0,1
48.jpg,1,0,0,0
49.jpg,0,1,0,0
50.jpg,0,1,0,0
51.jpg,0,1,0,0
52.jpg,0,1,0,0
53.jpg,1,0,0,0
54.jpg,0,1,0,0
55.jpg,1,0,0,0
56.jpg,1,0,0,0
57.jpg,0,0,0,1
58.jpg,1,0,0,0
59.jpg,0,0,0,1
60.jpg,0,1,0,0
61.jpg,0,1,0,0
62.jpg,0,1,0,0
63.jpg,0,1,0,0
64.jpg,1,0,0,0
65.jpg,1,0,0,0
66.jpg,0,0,0,1
67.jpg,0,1,0,0
68.jpg,0,0,0,1
69.jpg,0,0,0,1
70.jpg,0,1,0,0
71.jpg,0,1,0,0
72.jpg,1,0,0,0
73.jpg,1,0,0,0
74.jpg,1,0,0,0
75.jpg,0,1,0,0
76.jpg,1,0,0,0
77.jpg,0,1,0,0
78.jpg,0,1,0,0
79.jpg,0,1,0,0
80.jpg,0,1,0,0
81.jpg,0,1,0,0
82.jpg,0,0,0,1
83.jpg,0,1,0,0
84.jpg,0,1,0,0
85.jpg,0,1,0,0
86.jpg,1,0,0,0
87.jpg,1,0,0,0
88.jpg,0,0,0,1
89.jpg,0,1,0,0
90.jpg,0,1,0,0
91.jpg,1,0,0,0
92.jpg,1,0,0,0
93.jpg,0,1,0,0
94.jpg,1,0,0,0
95.jpg,0,1,0,0
96.jpg,0,1,0,0
97.jpg,0,1,0,0
98.jpg,0,1,0,0
99.jpg,0,1,0,0
100.jpg,0,1,0,0
101.jpg,0,1,0,0
102.jpg,0,1,0,0
103.jpg,1,0,0,0
104.jpg,1,0,0,0
105.jpg,1,0,0,0
106.jpg,0,0,1,0
107.jpg,0,1,0,0
108.jpg,0,1,0,0
109.jpg,0,0,0,1
110.jpg,0,1,0,0
111.jpg,0,1,0,0
112.jpg,1,0,0,0
113.jpg,1,0,0,0
114.jpg,0,1,0,0
115.jpg,0,1,0,0
116.jpg,0,1,0,0
117.jpg,0,0,1,0
118.jpg,1,0,0,0
119.jpg,0,1,0,0
120.jpg,0,1,0,0
121.jpg,0,1,0,0
122.jpg,1,0,0,0
123.jpg,1,0,0,0
124.jpg,0,0,0,1
125.jpg,0,1,0,0
126.jpg,0,1,0,0
127.jpg,0,1,0,0
128.jpg,0,0,1,0
129.jpg,1,0,0,0
130.jpg,0,0,1,0
131.jpg,1,0,0,0
132.jpg,0,0,1,0
133.jpg,0,1,0,0
134.jpg,1,0,0,0
135.jpg,1,0,0,0
136.jpg,0,1,0,0
137.jpg,1,0,0,0
138.jpg,0,1,0,0
139.jpg,0,1,0,0
140.jpg,0,1,0,0
141.jpg,0,1,0,0
142.jpg,0,0,0,1
143.jpg,0,1,0,0
144.jpg,1,0,0,0
145.jpg,0,1,0,0
146.jpg,1,0,0,0
